student_id,student_name,age,grade,math_score,science_score,admission_date
47,Ajay,-5,C,,95,2017-22-02
311,Ajay,-5,C,90,-3,2015-09-02
67,Ajay,18,PASS,,40,04-20-2018
284,Arun,17,C,45,-3,2023-03-04
387,Lokesh,15,B,45,-3,2022/11/08
564,Ajay,200,D,,,30/06/2017
198,Arun,17,PASS,45,88,01-Sep-2018
337,Arun,,fail,-10,40,2020-15-02
373,Ajay,-5,fail,,40,14-Mar-2021
364,Sneha,200,A,45,88,2022-06-13
120,,200,C,90,95,03-16-2019
597,Ajay,-5,B,200,102,02-10-2021
129,Preethi,-5,A,,88,2020/02/16
257,Preethi,-5,C,,95,10-26-2022
402,Sneha,,D,-10,88,08/06/2015
479,Sneha,200,b,200,102,2015/07/31
170,Arun,17,C,45,95,2019/05/21
380,Arun,,F,85,102,2020/05/03
559,Lokesh,17,D,,102,03-22-2020
196,Arun,-5,a,45,95,2019/04/04
398,,200,fail,90,-3,2015-03-04
398,Ajay,17,PASS,,-3,05-Mar-2023
555,,15,fail,85,102,26-May-2018
132,Ajay,17,PASS,45,95,11-05-2015
147,Lokesh,17,D,85,40,2021-05-02
109,Arun,17,D,45,88,16/06/2016
409,Preethi,-5,D,,102,08-18-2023
540,Preethi,,b,85,88,2015-12-12
214,Preethi,15,B,-10,40,11-30-2017
251,Preethi,200,a,45,102,08/09/2015
589,,18,b,90,40,2020-06-20
34,Lokesh,200,B,85,-3,01/08/2021
347,Arun,-5,B,85,102,12/11/2016
423,Sneha,17,b,85,40,10-31-2017
66,Sneha,15,b,,88,2019-01-10
581,Lokesh,15,fail,-10,,2023/06/24
306,Lokesh,18,A,45,102,2018-01-19
423,Sneha,15,fail,85,88,21/11/2017
308,Ajay,17,C,85,95,01-07-2023
495,,200,PASS,45,40,10/04/2021
287,Lokesh,16,A,85,-3,2018-29-11
236,Ajay,,D,,-3,2022/04/04
216,Sneha,17,B,-10,88,07-14-2021
224,,200,C,,40,06-07-2021
555,Lokesh,18,A,200,,2017/11/20
431,Lokesh,16,F,85,88,2015/08/24
383,Sneha,16,C,200,95,2016-27-10
427,,16,F,45,88,2015-25-11
498,,,PASS,-10,88,2018-11-03
236,Preethi,-5,PASS,,88,2019-26-03
408,Preethi,,a,-10,-3,21-Feb-2020
52,Sneha,200,F,90,95,2015-16-03
444,Sneha,15,D,45,,01-17-2022
391,,17,fail,90,102,2023-13-11
148,,16,F,-10,40,2018/09/04
577,Arun,-5,a,90,95,2020/07/04
479,Preethi,15,B,200,102,2018/08/20
27,Preethi,17,fail,85,95,2016-06-11
89,Lokesh,-5,D,90,,01-17-2019
134,Sneha,200,b,-10,,2015-01-22
6,Sneha,200,A,90,,14/09/2023
383,Sneha,15,PASS,-10,-3,2019-01-10
387,Preethi,17,fail,,102,05/05/2019
320,,15,B,45,88,04-27-2019
229,Arun,18,B,90,95,2018-05-12
160,Ajay,18,fail,-10,88,2023-03-02
424,Ajay,15,F,200,88,09/11/2021
342,Arun,15,A,200,95,15-Aug-2022
19,Lokesh,16,B,45,102,05/06/2016
452,Preethi,16,PASS,90,-3,12-Nov-2021
44,Ajay,18,B,200,88,2019/04/14
325,Preethi,17,C,45,102,2020/07/06
235,Arun,,fail,-10,102,14-May-2018
466,,16,A,200,-3,19-Dec-2015
456,Arun,17,b,-10,95,2021/10/22
408,Ajay,-5,B,45,95,2016/08/02
94,Lokesh,16,A,,40,25-Apr-2017
532,Preethi,17,A,90,95,11-Jan-2021
432,Lokesh,-5,fail,90,95,21-Jan-2021
470,Arun,18,A,45,95,2015/04/25
242,Lokesh,16,B,90,-3,24/04/2022
208,Ajay,18,a,85,88,15/02/2018
532,Arun,15,A,45,102,2020/10/25
299,Ajay,200,B,45,88,11-07-2016
194,Ajay,16,fail,45,,23/05/2022
416,Lokesh,15,b,45,95,05-26-2023
409,,200,C,-10,40,03-16-2018
538,Preethi,18,b,200,102,29/10/2022
534,Lokesh,15,D,-10,-3,2017/08/20
591,Arun,-5,b,90,102,2015-20-01
36,Ajay,15,PASS,85,40,2020-02-26
69,Preethi,200,D,45,102,28-Dec-2018
82,Lokesh,200,fail,90,,2017-09-02
444,Preethi,,b,85,95,21/10/2015
68,Lokesh,16,fail,85,-3,06-06-2020
26,Preethi,18,fail,45,,2022-11-02
1,Ajay,-5,F,85,,22/06/2016
535,Ajay,,A,85,95,2020-09-02
81,Lokesh,-5,C,200,88,2015-15-02
133,,16,b,,40,2023/07/05
307,Arun,17,D,,102,2018-10-03
544,Preethi,17,B,85,95,06-18-2019
247,Lokesh,-5,a,-10,102,2015/04/17
523,Sneha,15,B,90,88,16-Dec-2019
511,Arun,-5,b,85,88,2018/03/17
303,Sneha,17,C,90,-3,06-03-2022
233,,18,B,-10,88,12-01-2023
69,Arun,,PASS,200,88,2020-05-05
540,Sneha,,D,-10,-3,03/06/2016
520,Arun,16,A,-10,-3,2019-04-10
45,Lokesh,18,C,,,2016/06/13
406,Arun,17,A,,102,02/05/2019
278,Arun,,PASS,85,102,2017-19-12
299,Sneha,18,PASS,85,,09-04-2015
483,Preethi,200,b,45,40,2020-15-01
367,Arun,-5,D,85,40,2017-17-01
403,Ajay,,A,45,95,2021-05-03
95,Arun,16,A,85,102,2018-03-03
513,Sneha,15,C,200,88,2019/02/07
503,Preethi,-5,PASS,-10,-3,12-04-2017
159,Ajay,-5,F,85,-3,10/06/2020
240,Ajay,16,a,45,102,2019-07-13
388,Arun,17,D,-10,-3,2015-24-11
502,Lokesh,18,PASS,-10,-3,01/03/2020
165,Sneha,17,C,-10,95,2019-15-12
373,,-5,F,-10,95,2017/10/29
358,Ajay,,C,,95,2018-03-02
368,Ajay,16,D,,88,11/09/2018
147,Preethi,200,C,85,88,2015-24-01
435,Preethi,18,D,,,2017-03-12
181,Lokesh,18,a,90,95,2023-10-14
148,Ajay,18,D,,40,2023/05/18
1,Ajay,200,fail,-10,40,2017-07-28
358,Preethi,17,b,-10,40,11-03-2019
22,Preethi,17,D,200,102,06-16-2018
377,Arun,15,D,85,102,09-16-2018
289,Arun,,PASS,-10,88,2016-10-03
228,,16,C,85,88,29-Aug-2016
372,,18,F,90,,15/06/2022
240,Ajay,200,a,45,-3,2016-08-30
529,Ajay,17,D,,,2015/12/30
108,,-5,A,200,40,2018-19-12
346,Ajay,15,A,-10,102,02/04/2020
284,Sneha,16,C,,,2018-03-15
536,Lokesh,-5,D,90,40,11-20-2023
442,Lokesh,18,b,85,40,2016/05/27
252,Lokesh,-5,PASS,45,88,2016-11-11
215,Ajay,16,PASS,90,88,06-16-2022
365,Lokesh,17,B,,102,2017-25-04
543,Preethi,18,C,200,,06-23-2018
460,Sneha,15,F,,102,2015/06/14
462,,18,b,-10,-3,11/12/2020
81,,200,B,85,-3,31-Jan-2023
316,Ajay,15,PASS,-10,-3,06-09-2018
104,Preethi,16,B,90,102,07-11-2017
337,Lokesh,16,D,,,2020/01/01
211,Preethi,200,B,45,,2016-18-09
43,Sneha,200,a,-10,88,2021-29-04
329,Preethi,15,b,45,,26/05/2017
81,Arun,,D,85,-3,2022-12-12
114,Preethi,15,fail,85,95,2018/12/12
215,,200,F,45,95,06/01/2020
44,Sneha,16,fail,85,-3,28/02/2022
379,Preethi,16,C,90,88,29/11/2015
541,,-5,B,,95,2017-09-08
569,Sneha,,D,-10,95,21/08/2020
453,Sneha,-5,b,,88,2017/11/07
309,Preethi,-5,B,45,102,27-Sep-2022
563,,-5,fail,85,88,04/08/2017
472,Ajay,18,C,90,102,28-Sep-2020
496,,15,F,45,,2023-24-06
291,Preethi,,a,-10,88,23/08/2020
142,Lokesh,-5,C,85,-3,02-23-2015
280,,15,fail,-10,95,2019-02-07
382,Ajay,18,fail,45,88,08-Nov-2021
416,Preethi,18,C,85,102,2023-02-11
367,Sneha,,b,85,40,12/06/2023
479,Preethi,,F,90,40,2016-12-03
161,Ajay,15,fail,-10,,2022/05/16
441,,18,fail,200,95,01-07-2021
187,Arun,,F,-10,102,2023-03-23
230,Lokesh,-5,D,,-3,2018-20-04
197,Sneha,17,B,200,88,18-Feb-2021
123,Lokesh,,PASS,-10,102,2016-05-12
400,Preethi,-5,fail,,102,2023-06-03
154,Preethi,-5,F,90,-3,2018/08/23
575,,,D,,102,2017/11/09
297,Lokesh,-5,A,45,102,22-Jul-2020
37,Lokesh,,a,,102,2016/06/15
171,Lokesh,200,a,85,,2021-02-10
448,,17,A,-10,,2022/05/18
503,Sneha,17,b,90,102,2017-02-08
49,Preethi,,fail,,-3,2020/10/19
402,Sneha,18,fail,45,,05-28-2023
259,Ajay,,F,-10,102,09-Jan-2022
214,Sneha,16,D,,102,25/06/2023
460,Ajay,15,b,90,-3,2017-11-03
76,Preethi,-5,b,,95,31/07/2018
282,Arun,15,PASS,200,88,13/09/2016
588,,,PASS,,102,2017-08-23
369,Preethi,18,PASS,-10,95,2019-13-01
411,Sneha,17,PASS,45,40,2019-05-07
20,,15,B,,-3,2023-09-06
403,Lokesh,17,PASS,,102,25/07/2018
68,Ajay,200,F,90,102,2023/01/16
48,Sneha,15,C,-10,88,2022-06-10
57,Arun,,a,85,102,04-Sep-2019
404,Preethi,15,fail,,-3,2019-02-25
243,Lokesh,,b,45,40,2016-05-15
574,Lokesh,,fail,45,40,2021-09-07
133,Arun,-5,b,90,95,22-Feb-2015
31,Preethi,,F,,40,04-08-2015
581,Ajay,,B,-10,102,2022-06-11
182,Sneha,,F,200,95,2023-02-17
575,,17,F,90,40,2022-12-23
539,Lokesh,15,PASS,45,,22-Jan-2016
28,Arun,-5,D,,95,2023-05-05
34,,18,D,-10,40,05-Apr-2023
306,Arun,18,B,45,88,10-Mar-2019
197,Preethi,18,F,45,88,2023-25-02
111,Arun,200,b,-10,-3,30/05/2022
158,Sneha,-5,B,90,,2023-01-27
28,,-5,F,-10,40,2022-15-10
322,Lokesh,,b,200,88,03-21-2019
407,Ajay,16,A,,102,2020-13-12
458,Preethi,200,b,200,-3,27/09/2019
471,Ajay,15,D,90,,22/08/2021
192,Lokesh,16,a,45,,08-Dec-2019
535,Sneha,15,b,45,88,07-11-2016
285,Sneha,17,F,-10,,2018/02/11
473,Sneha,17,F,200,88,2018-09-27
118,,15,PASS,90,-3,03-20-2022
30,Lokesh,,B,85,,2023/11/16
518,Sneha,18,B,45,88,2020/04/09
590,Arun,200,C,85,,10-16-2018
588,,-5,A,85,102,11-08-2019
80,Ajay,15,a,200,40,2022-13-11
129,Arun,200,C,-10,,2017/01/10
